,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.667210040633109],[0.8359909209943555],[1.0],[0.0008051529790660225],0.6960396,[0.7020870076425632],[0.8773966755720715],[0.0],[0.0],0.6852142
1,[0.7531538634827664],[0.8855070552178932],[0.8410174880763116],[0.8518518518518519],0.6185331,[0.8246619635508524],[0.938673523851873],[0.901840490797546],[0.9074074074074074],0.5948383
2,[0.7715075968060874],[0.8936608559107315],[0.8826205641492265],[0.7809983896940419],0.60437346,[0.8389182833627279],[0.9457628529985286],[0.9219858156028369],[0.8024691358024691],0.52687645
3,[0.7869536014951649],[0.9005397263707051],[0.8949671772428884],[0.6586151368760065],0.6277659,[0.8483245149911817],[0.9536055703008233],[0.9375],[0.6481481481481481],0.50265145
4,[0.8049506478769827],[0.9046063079374831],[0.8705526116578349],[0.9259259259259259],0.50132,[0.8134920634920635],[0.932559026011298],[0.8806818181818182],[0.9567901234567902],0.5415697
5,[0.8076456158794523],[0.9092798434989997],[0.9046015712682379],[0.6489533011272142],0.60749024,[0.8533215755437977],[0.9555428281665771],[0.9487179487179487],[0.6851851851851852],0.485904
6,[0.8156846303388318],[0.9118258180267913],[0.8802931596091205],[0.8703703703703703],0.5143147,[0.8361258083480305],[0.943286720199964],[0.8848484848484849],[0.9012345679012346],0.49962363
7,[0.8185318682052181],[0.9114005394491458],[0.8719101123595505],[0.9371980676328503],0.48415828,[0.8131981187536743],[0.9279314209907082],[0.8764044943820225],[0.9629629629629629],0.53953683
8,[0.8258867112212459],[0.9146670164755349],[0.9014336917562724],[0.8099838969404187],0.5194275,[0.8350970017636685],[0.9451355665346179],[0.9],[0.8333333333333334],0.4899658
9,[0.8305069543524151],[0.9161838536841392],[0.9023957409050577],[0.8188405797101449],0.5144783,[0.8406819517930629],[0.9479809943547641],[0.9054054054054054],[0.8271604938271605],0.49384785
10,[0.8307551750894847],[0.9176606753223184],[0.8804841149773072],[0.9371980676328503],0.47336197,[0.8311287477954145],[0.9376525788366021],[0.8806818181818182],[0.9567901234567902],0.52838
11,[0.8357258474965166],[0.9209977578670244],[0.9044585987261147],[0.8003220611916264],0.5183572,[0.8567019400352733],[0.9542728090541783],[0.9183673469387755],[0.8333333333333334],0.4694865
12,[0.8397975019398762],[0.921064363752907],[0.9080882352941176],[0.7954911433172303],0.5177506,[0.8558201058201058],[0.9532473373309284],[0.9246575342465754],[0.8333333333333334],0.47638726
13,[0.8426092797009669],[0.9227841505353656],[0.898989898989899],[0.8599033816425121],0.48545876,[0.8514109347442681],[0.9484621171226786],[0.9079754601226994],[0.9135802469135802],0.48809108
14,[0.8423172553044145],[0.9238088734487114],[0.8809344385832706],[0.9412238325281803],0.45898873,[0.8398001175778954],[0.9400337639781738],[0.8870056497175142],[0.9691358024691358],0.5284777
15,[0.8471961486153872],[0.925594132566679],[0.902333621434745],[0.8405797101449275],0.48426297,[0.8614050558495003],[0.9526670726432992],[0.9113924050632911],[0.8888888888888888],0.46850446
16,[0.8513366373807916],[0.9266139016515326],[0.8994276369582993],[0.8856682769726248],0.46613032,[0.859347442680776],[0.9510480724322623],[0.9090909090909091],[0.9259259259259259],0.48275122
17,[0.8552080465236582],[0.9292157206779348],[0.91804788213628],[0.8027375201288245],0.49988943,[0.8703703703703703],[0.9564626520877042],[0.9246575342465754],[0.8333333333333334],0.4472351
18,[0.8522627718955722],[0.931697769631368],[0.875092936802974],[0.9476650563607085],0.44654536,[0.8500881834215168],[0.9432874743927564],[0.8920454545454546],[0.9691358024691358],0.5242993
19,[0.858462032656671],[0.932515714532352],[0.9176365264100269],[0.8252818035426731],0.4817304,[0.8753674309229864],[0.9580966668271564],[0.9210526315789473],[0.8641975308641975],0.43573198
20,[0.8622228897065572],[0.9340277627487203],[0.9098567818028643],[0.8695652173913043],0.4621842,[0.8746325690770135],[0.9572107427283691],[0.9119496855345912],[0.8950617283950617],0.44715217
21,[0.8616096384737971],[0.9358061507406104],[0.8783068783068783],[0.9355877616747182],0.4384478,[0.860817166372722],[0.949631255395754],[0.8914285714285715],[0.9629629629629629],0.5011537
22,[0.8642316003771285],[0.9353847918606482],[0.926949654491609],[0.7560386473429952],0.5125412,[0.8818342151675485],[0.9606547902349796],[0.9343065693430657],[0.7901234567901234],0.4122273
23,[0.8649282871517608],[0.9376344916529936],[0.8831168831168831],[0.9307568438003221],0.43877771,[0.8722810111699],[0.9560867096684036],[0.8914285714285715],[0.9629629629629629],0.47176147
24,[0.8657125812453588],[0.9366028311180346],[0.9283639883833494],[0.7721417069243156],0.504174,[0.8862433862433862],[0.9622023468071608],[0.9347826086956522],[0.7962962962962963],0.4043825
25,[0.865987918533537],[0.9366208364350521],[0.9280855199222546],[0.7689210950080515],0.503858,[0.8847736625514403],[0.9616936144012872],[0.9343065693430657],[0.7901234567901234],0.40422562
26,[0.8687266901954894],[0.9386336908092279],[0.9126378286683631],[0.8663446054750402],0.45122886,[0.8797766019988242],[0.9593213219256742],[0.9177215189873418],[0.8950617283950617],0.41164693
27,[0.8698509841222164],[0.9376127431582091],[0.915126050420168],[0.8768115942028986],0.4401268,[0.8758083480305703],[0.9569670815547133],[0.9130434782608695],[0.9074074074074074],0.42936411
28,[0.8707395726431545],[0.9398301465351263],[0.8921875],[0.9194847020933977],0.4272248,[0.8790417401528512],[0.9592959679811542],[0.8908045977011494],[0.9567901234567902],0.45308837
29,[0.8674084086339099],[0.9375688484134794],[0.9516971279373369],[0.5869565217391305],0.62689674,[0.8871252204585538],[0.9621452002648994],[0.9716981132075472],[0.6358024691358025],0.43699405
