,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.6689464412646413],[0.8321100500323733],[1.0],[0.0008097165991902834],0.69606704,[0.6990872362711358],[0.8883063886833226],[0.0],[0.0],0.69605446
1,[0.7735544086287357],[0.8958195558121036],[0.8132956152758133],[0.9311740890688259],0.5953422,[0.7436779889271286],[0.9126420441813101],[0.8225806451612904],[0.9386503067484663],0.5765371
2,[0.7791317695295196],[0.8926726215053945],[0.8769497400346621],[0.8194331983805668],0.6010702,[0.7731557683674996],[0.9252727659792055],[0.8807947019867549],[0.8159509202453987],0.56278986
3,[0.7908757507391497],[0.9000861597357457],[0.8853681267474371],[0.7692307692307693],0.59808433,[0.7920095765374832],[0.9333560355665997],[0.9064748201438849],[0.7730061349693251],0.53367686
4,[0.8022941970310391],[0.9043951593744581],[0.8947895791583166],[0.7230769230769231],0.5873324,[0.8059254825677091],[0.9362519722651297],[0.9259259259259259],[0.7668711656441718],0.51363194
5,[0.8117038044318077],[0.9053688263196774],[0.8712349397590361],[0.9368421052631579],0.4901048,[0.8018853808169983],[0.935195410636072],[0.8806818181818182],[0.950920245398773],0.450816
6,[0.8226586725180537],[0.9112013523253065],[0.8823058446757406],[0.8923076923076924],0.49440047,[0.8099655843184199],[0.9368224364444826],[0.8982035928143712],[0.9202453987730062],0.4539076
7,[0.8297390569789124],[0.9156648578592128],[0.8823058446757406],[0.8923076923076924],0.49508023,[0.814753853060003],[0.9381777399202327],[0.8988095238095238],[0.9263803680981595],0.4625424
8,[0.8329377465978511],[0.9175799179451456],[0.8910149750415973],[0.8672064777327935],0.48898754,[0.8135567858746072],[0.9377840477219974],[0.8975903614457831],[0.9141104294478528],0.44705188
9,[0.8396771435341142],[0.9213525984543073],[0.9052346570397112],[0.8121457489878543],0.50739455,[0.8241807571449947],[0.9414936680426771],[0.9050632911392406],[0.8773006134969326],0.46066704
10,[0.8454770219736069],[0.9244997029470167],[0.9043478260869565],[0.8421052631578947],0.4916832,[0.8274726919048332],[0.9432022289986769],[0.9074074074074074],[0.901840490797546],0.45060945
11,[0.8509596068856815],[0.9266318728710544],[0.9089253187613844],[0.8080971659919028],0.5052458,[0.8337572946281611],[0.9446350470770714],[0.9044585987261147],[0.8711656441717791],0.46217856
12,[0.8535865500509936],[0.9304414858615678],[0.9010989010989011],[0.8631578947368421],0.4753327,[0.8354032620080801],[0.9467964995994363],[0.9047619047619048],[0.9325153374233128],0.43311092
13,[0.8569243131316253],[0.9315697051576493],[0.8951160928742994],[0.9052631578947369],0.45851007,[0.8352536286099057],[0.9465811451628496],[0.9017341040462428],[0.9570552147239264],0.42991748
14,[0.8587951087348437],[0.9344943562437283],[0.8953771289537713],[0.8939271255060729],0.4628679,[0.8379470297770463],[0.9472724313384177],[0.9017341040462428],[0.9570552147239264],0.42548302
15,[0.8606236672126589],[0.9344477461627632],[0.8939393939393939],[0.9076923076923077],0.4523396,[0.8394433637587909],[0.9476783367652202],[0.9022988505747126],[0.9631901840490797],0.4184878
16,[0.8625799672404736],[0.9360912749587793],[0.9329004329004329],[0.6979757085020243],0.56610245,[0.8518629358072721],[0.9527721461204661],[0.9312977099236641],[0.7484662576687117],0.48802277
17,[0.8646197113453038],[0.935647536810172],[0.8911511354737667],[0.9214574898785425],0.44259647,[0.8422863983241059],[0.9486750900597519],[0.8971428571428571],[0.9631901840490797],0.4197224
18,[0.8649184617444963],[0.9362267783551532],[0.8893219017926735],[0.9238866396761134],0.4405823,[0.8428849319168038],[0.948392629281475],[0.8926553672316384],[0.9693251533742331],0.40929982
19,[0.8674712323969053],[0.9371246111703967],[0.9151027703306523],[0.8291497975708502],0.47367612,[0.8511147688163998],[0.9513212802658758],[0.906832298136646],[0.8957055214723927],0.42454788
20,[0.871297297854148],[0.9395646616093223],[0.903861955628595],[0.8906882591093117],0.44595256,[0.8536585365853658],[0.9522238345451246],[0.9064327485380117],[0.950920245398773],0.41629472
21,[0.8727003945565617],[0.94112559879756],[0.9069572506286673],[0.8761133603238866],0.45203915,[0.8575490049379021],[0.9531264317517067],[0.9117647058823529],[0.950920245398773],0.40920877
22,[0.8732299038847855],[0.9417524443365348],[0.923006416131989],[0.8153846153846154],0.4793321,[0.8605416729013916],[0.9540588185121892],[0.9056603773584906],[0.8834355828220859],0.4216591
23,[0.8736151888823643],[0.941109292413074],[0.8863987635239567],[0.928744939271255],0.42702907,[0.8536585365853658],[0.9524078950219288],[0.8977272727272727],[0.9693251533742331],0.40266404
24,[0.8751851737388098],[0.9433380185562629],[0.921832884097035],[0.8307692307692308],0.47473437,[0.8642825078557534],[0.9545584713180846],[0.910828025477707],[0.8773006134969326],0.4158741
25,[0.8755622173460663],[0.9426471625578686],[0.9190647482014388],[0.8275303643724696],0.46891057,[0.8633847074667065],[0.9545221122609202],[0.906832298136646],[0.8957055214723927],0.4131987
26,[0.8775360303283163],[0.9438583111246207],[0.9053497942386831],[0.8906882591093117],0.4350765,[0.8653299416429747],[0.9556732395743478],[0.9],[0.9386503067484663],0.39752266
27,[0.8791843083928259],[0.9454801675651464],[0.9247506799637353],[0.8259109311740891],0.46835083,[0.8680233428101152],[0.9558219032548526],[0.9245283018867925],[0.901840490797546],0.40624657
