,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
0,[0.6733035578918422],[0.7221728389388096],[0.3684210526315789],[0.0017672304973491543],0.6911535,[0.6906928022041098],[0.7279958170898266],[0.0],[0.0],0.6897217
1,[0.8146300038334255],[0.8344011104825779],[0.8285043069694596],[0.8013127997980308],0.5283515,[0.8474414533348639],[0.8733305422926876],[0.8411405295315683],[0.8326612903225806],0.48215473
2,[0.8457886048986496],[0.8707077025787713],[0.8151542244076889],[0.9207270891189093],0.48180798,[0.8712475605556194],[0.8938515874689965],[0.8241563055062167],[0.9354838709677419],0.4594646
3,[0.8574388122633314],[0.8840371297223759],[0.8320878094348435],[0.8995203231507195],0.46335855,[0.8805030995293307],[0.9013601420279072],[0.8302919708029197],[0.9173387096774194],0.44149983
4,[0.8684548964028216],[0.8959140301971031],[0.8491730436929154],[0.8684675586972986],0.44789785,[0.887878831362645],[0.9078375340302716],[0.8596153846153847],[0.9012096774193549],0.4230945
5,[0.8720276804480614],[0.9017228185847452],[0.8617245005257623],[0.8275687957586468],0.44962388,[0.887161347721272],[0.907532190904337],[0.8668032786885246],[0.8528225806451613],0.41694242
6,[0.8816550582560793],[0.9144150913784429],[0.8576084231637002],[0.8636707902044938],0.42901716,[0.891301228331994],[0.9171427195910163],[0.8615984405458089],[0.8911290322580645],0.40657195
7,[0.8830831521672748],[0.9156104727692025],[0.8278429602888087],[0.9262812421105782],0.43200338,[0.8915810469521294],[0.9177856610272337],[0.8405017921146953],[0.9455645161290323],0.42495725
8,[0.8880971406410012],[0.919091979277218],[0.9046534331272372],[0.7018429689472355],0.47253534,[0.8982177706348294],[0.9244392530926552],[0.9072164948453608],[0.7096774193548387],0.43707728
9,[0.8921352920222052],[0.9240772374281294],[0.8774798927613942],[0.8263064882605403],0.42274988,[0.8993585696246127],[0.925891426703679],[0.879492600422833],[0.8387096774193549],0.39811265
10,[0.892186501478631],[0.9238083171658168],[0.8691950464396285],[0.8505427922241858],0.4141496,[0.898389966708759],[0.9253117398691036],[0.872],[0.8790322580645161],0.39170003
11,[0.8938135502911039],[0.9246895887038515],[0.8975653206650831],[0.7631911133552133],0.43742195,[0.9019415107335552],[0.9298173726223485],[0.891566265060241],[0.7459677419354839],0.40654677
12,[0.8954688931686698],[0.9259717618943565],[0.8855488141202427],[0.8106538752840192],0.42070523,[0.904574675697394],[0.9312855443914495],[0.8866666666666667],[0.8044354838709677],0.39602488
13,[0.8965961175164018],[0.9285279709656364],[0.8247285619321959],[0.9396617015905074],0.42833167,[0.9021495809895533],[0.9299348033960341],[0.8292682926829268],[0.9596774193548387],0.43201885
14,[0.8991826993165611],[0.9293445080322279],[0.8701530612244898],[0.8611461752082807],0.4014934,[0.9045316266789118],[0.9322168755103444],[0.876984126984127],[0.8911290322580645],0.38892502
15,[0.9007241935995353],[0.9315087885961763],[0.8572472594397077],[0.8884120171673819],0.3938767,[0.9048114452990472],[0.9322027795201073],[0.8669201520912547],[0.9193548387096774],0.38254893
16,[0.9012293407101843],[0.9325731223211053],[0.8274100399822302],[0.9404190860893714],0.4123638,[0.9043953047870508],[0.9326670972317779],[0.8383128295254832],[0.9616935483870968],0.4120363
17,[0.9041704107278545],[0.9339107177337771],[0.8740951396070321],[0.8535723302196415],0.39141402,[0.9063540351279991],[0.9339202440751609],[0.875],[0.875],0.37745154
